city,n_candidates,n_true_wh,mean_score,median_score,n_core,n_secondary,known_wh_density,model_opportunity_score
Columbus,15,15,0.9606923997000785,0.9929256032276381,15,0,1.0,14.41
Conway,2,2,0.9030677223863286,0.9030677223863286,2,0,1.0,1.806
Coral Gables,3,3,0.8590868899106505,0.9868814803161483,3,0,1.0,2.577
Corpus Christi,1,1,0.9904576497598356,0.9904576497598356,1,0,1.0,0.99
Council Bluffs,3,3,0.9953092612196199,0.9976469058587081,3,0,1.0,2.986
Covington,2,2,0.9756792920244359,0.9756792920244359,2,0,1.0,1.951
Dallas,8,5,0.6168613423489812,0.7639193862186574,6,0,0.625,3.701
Dalton,2,2,0.999185496206155,0.999185496206155,2,0,1.0,1.998
Dayton,3,3,0.9679303334218297,0.9862832880402316,3,0,1.0,2.904
Daytona Beach,1,0,0.9078909360099505,0.9078909360099505,1,0,0.0,0.908
Decatur,1,1,0.9639551665878962,0.9639551665878962,1,0,1.0,0.964
Denton,8,7,0.9912684439408957,0.9995416396666835,8,0,0.875,7.93
Denver,22,4,0.20218147704814984,0.0282881149427542,4,0,0.1818,0.809
Des Moines,5,3,0.9146614642572386,0.9980777090093198,5,0,0.6,4.573
Detroit,3,3,0.7630489289072634,0.8989044947546345,3,0,1.0,2.289
Dothan,1,1,0.9993064557252097,0.9993064557252097,1,0,1.0,0.999
Dubuque,1,1,0.8743650149249053,0.8743650149249053,1,0,1.0,0.874
Durham,6,6,0.8195218306055909,0.9486123361664311,6,0,1.0,4.917
El Paso,4,4,0.944723913877306,0.9963764368815635,4,0,1.0,3.779
Elgin,26,6,0.28268779771835484,0.10053968872941907,10,0,0.2308,2.827
Elkhart,2,2,0.9995416396666835,0.9995416396666835,2,0,1.0,1.999
Erie,1,1,0.9973265846762579,0.9973265846762579,1,0,1.0,0.997
Evanston,3,3,0.8299772655267428,0.9985799521274428,3,0,1.0,2.49
Everett,1,1,0.11891274282509962,0.11891274282509962,0,0,1.0,0.0
Fargo,1,1,0.9250124458141842,0.9250124458141842,1,0,1.0,0.925
Fayetteville,2,2,0.9963631767485412,0.9963631767485412,2,0,1.0,1.993
Florence,2,2,0.9273299910446262,0.9273299910446262,2,0,1.0,1.855
Fond du Lac,2,2,0.9995416396666835,0.9995416396666835,2,0,1.0,1.999
Fort Lauderdale,2,1,0.4217347966057552,0.4217347966057552,2,0,0.5,0.843
Fort Pierce,2,1,0.8241081917696502,0.8241081917696502,2,0,0.5,1.648
Fort Smith,2,2,0.9915061774762839,0.9915061774762839,2,0,1.0,1.983
Fort Wayne,3,3,0.9976252921110583,0.997826723341762,3,0,1.0,2.993
Fredericksburg,3,0,0.91105577321206,0.8979638301038851,3,0,0.0,2.733
Fresno,4,4,0.9535950133570512,0.992062454173529,4,0,1.0,3.814
Ft.  Worth,7,6,0.9198300618310045,0.9811703447666632,7,0,0.8571,6.439
Ft. Myers,1,1,0.9676877520595207,0.9676877520595207,1,0,1.0,0.968
Glendale,12,12,0.9661993666164735,0.9995416396666835,12,0,1.0,11.594
Grand Junction,1,1,0.9504614736533858,0.9504614736533858,1,0,1.0,0.95
Grand Rapids,2,2,0.9960606924918174,0.9960606924918174,2,0,1.0,1.992
Greeley,2,2,0.8571851572297426,0.8571851572297426,2,0,1.0,1.714
Green Bay,4,4,0.9504652079580929,0.9941135673944048,4,0,1.0,3.802
Greensboro,3,3,0.9576981830760648,0.9967279978115363,3,0,1.0,2.873
Greenville,4,4,0.8087114827365949,0.9489007133878692,4,0,1.0,3.235
Hagerstown,2,2,0.9581146552907032,0.9581146552907032,2,0,1.0,1.916
Harlingen,2,2,0.9587142692991283,0.9587142692991283,2,0,1.0,1.917
Harrisburg,5,5,0.9974980887709884,0.9986574209496915,5,0,1.0,4.987
Hartford,2,2,0.6137862459073017,0.6137862459073017,2,0,1.0,1.228
Hickory,1,1,0.9882964518280021,0.9882964518280021,1,0,1.0,0.988
Houston,14,13,0.86679287793804,0.9909853419727304,13,0,0.9286,11.268
Huntsville,3,3,0.6336154180980641,0.7494185337249796,2,0,1.0,1.267
Independence,3,3,0.987379261686257,0.9995416396666835,3,0,1.0,2.962
Indianapolis,9,9,0.9731675189573803,0.9955357868945954,9,0,1.0,8.759
Irvine,6,6,0.9468453671648637,0.9839050296262848,6,0,1.0,5.681
Jackson,6,6,0.9884828714953423,0.9960357696861,6,0,1.0,5.931
Jacksonville,5,5,0.9598468433834316,0.9754337290908146,5,0,1.0,4.799
Janesville,1,1,0.9949252940363486,0.9949252940363486,1,0,1.0,0.995
Jefferson City,1,1,0.7510969646478188,0.7510969646478188,1,0,1.0,0.751
Johnson City,1,1,0.9690369051377563,0.9690369051377563,1,0,1.0,0.969
