source,id,lat,lon,score,tier,osm_category,area_sqm,maps_link,model_version,scored_date,rank,score_adjusted,tier_adjusted
overture_discovery,ov_48,32.536035125874996,-96.95328972065673,0.02098441425276806,Deprioritized,unknown,48254.0,"https://www.google.com/maps/@32.536035125874996,-96.95328972065673,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1138,0.0007,Deprioritized
known_osm,neg_890,37.98032865,-122.3108297,0.020177052346413708,Deprioritized,sports_centre,,"https://www.google.com/maps/@37.98032865,-122.3108297,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1139,0.0006,Deprioritized
known_osm,neg_1456,43.64782755,-79.65162553257542,0.019409544442949768,Deprioritized,factory,,"https://www.google.com/maps/@43.64782755,-79.65162553257542,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1140,0.0006,Deprioritized
known_osm,neg_207,29.43616025,-98.6482438512219,0.019278781895077434,Deprioritized,restaurant,,"https://www.google.com/maps/@29.43616025,-98.6482438512219,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1141,0.0006,Deprioritized
known_osm,neg_1157,42.05951544999999,-88.13781408038805,0.018882825890928743,Deprioritized,retail_large,,"https://www.google.com/maps/@42.05951544999999,-88.13781408038805,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1142,0.0006,Deprioritized
known_osm,neg_1092,47.2740369,-122.38762663754925,0.018463024099340898,Deprioritized,industrial,,"https://www.google.com/maps/@47.2740369,-122.38762663754925,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1143,0.0006,Deprioritized
known_osm,neg_649,40.95153415,-73.95099518206587,0.017859424592888334,Deprioritized,park,,"https://www.google.com/maps/@40.95153415,-73.95099518206587,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1144,0.0006,Deprioritized
known_osm,neg_72,33.910610750000004,-117.27089727505944,0.01750276781489079,Deprioritized,fuel,,"https://www.google.com/maps/@33.910610750000004,-117.27089727505944,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1145,0.0006,Deprioritized
known_osm,neg_1276,47.25301145,-122.43981000408522,0.017495432187396697,Deprioritized,commercial,,"https://www.google.com/maps/@47.25301145,-122.43981000408522,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1146,0.0006,Deprioritized
known_osm,neg_957,47.2456712,-122.44689361540438,0.017135802179961735,Deprioritized,hospital,,"https://www.google.com/maps/@47.2456712,-122.44689361540438,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1147,0.0005,Deprioritized
known_osm,neg_902,39.7307364,-104.9996374,0.01676261372451693,Deprioritized,sports_centre,,"https://www.google.com/maps/@39.7307364,-104.9996374,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1148,0.0005,Deprioritized
known_osm,neg_517,35.410263,-80.6568336,0.016670758658611593,Deprioritized,supermarket,,"https://www.google.com/maps/@35.410263,-80.6568336,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1149,0.0005,Deprioritized
known_osm,neg_1178,47.23841645000001,-122.43007389226742,0.01615190236519344,Deprioritized,retail_large,,"https://www.google.com/maps/@47.23841645000001,-122.43007389226742,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1150,0.0005,Deprioritized
known_osm,neg_607,39.7361239,-105.0056644,0.016107005573536864,Deprioritized,school,,"https://www.google.com/maps/@39.7361239,-105.0056644,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1151,0.0005,Deprioritized
known_osm,neg_489,38.9409973,-77.0255304,0.01556623879059887,Deprioritized,supermarket,,"https://www.google.com/maps/@38.9409973,-77.0255304,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1152,0.0005,Deprioritized
known_osm,neg_451,40.9411342,-73.9603132,0.015330735021938387,Deprioritized,supermarket,,"https://www.google.com/maps/@40.9411342,-73.9603132,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1153,0.0005,Deprioritized
