pos_id,lat,lon,cluster_id,cluster_size,density_type
0000282,39.88845269999999,-82.9668827,0,32,dense_cluster
0000283,32.548071,-85.5151583,-1,0,isolated
0000284,42.1090054,-87.97165629999999,-1,0,isolated
0000285,32.2624035,-90.16662989999999,-1,0,isolated
0000286,35.9665124,-86.8159012,-1,0,isolated
0000287,38.5017607,-90.3349842,-1,0,isolated
0000288,40.688101,-74.31676829999999,11,66,dense_cluster
0000289,41.2566856,-96.0305755,16,24,dense_cluster
0000290,44.97894489999999,-93.098339,-1,0,isolated
0000291,45.105751,-93.39850109999999,62,6,small_cluster
0000292,46.5575,4.911166,-1,0,isolated
0000293,44.0544475,-88.56463079999999,-1,0,isolated
0000294,33.50417350000001,-86.8515998,63,5,small_cluster
0000295,35.98877570000001,-86.5801319,46,13,small_cluster
0000296,43.1309597,-93.2282827,-1,0,isolated
0000297,33.1889047,-97.172108,-1,0,isolated
0000298,43.06332099999999,-88.47818199999999,-1,0,isolated
0000299,36.9332155,-86.49807530000001,-1,0,isolated
0000300,35.9969387,-86.5924287,46,13,small_cluster
0000301,43.870335,-116.9764997,-1,0,isolated
0000302,33.8849425,-118.2656237,6,113,dense_cluster
0000303,45.5955351,-74.5924789,-1,0,isolated
0000304,36.2916428,-86.69771279999999,-1,0,isolated
0000305,39.0844047,-84.71603619999999,55,23,dense_cluster
0000306,43.764137,-79.533714,7,69,dense_cluster
0000307,37.6100876,-77.5177496,-1,0,isolated
0000308,43.389928,-79.7514489,-1,0,isolated
0000309,35.0702062,-92.4265844,-1,0,isolated
0000310,33.8077367,-118.242647,6,113,dense_cluster
0000311,40.03978,-111.7665068,-1,0,isolated
0000312,42.6147879,-70.6558112,-1,0,isolated
0000313,37.7951308,-121.1057876,-1,0,isolated
0000314,41.9768268,-88.12579079999999,1,70,dense_cluster
0000315,39.3820927,-84.2442436,-1,0,isolated
0000316,40.5760761,-75.6057307,64,8,small_cluster
0000317,39.5542471,-119.5274201,65,8,small_cluster
0000318,33.4524569,-82.0325342,66,5,small_cluster
0000319,30.6414656,-88.08292929999999,67,6,small_cluster
0000320,33.2041977,-87.1650094,-1,0,isolated
0000321,44.0262443,-79.8111598,-1,0,isolated
0000322,42.2532168,-85.5496702,68,5,small_cluster
0000323,30.2544476,-81.6010799,-1,0,isolated
0000324,30.05056029999999,-95.61129269999999,-1,0,isolated
0000325,37.6864733,-121.8095035,-1,0,isolated
